Product ID;Product Position;Promotion;Product Category;Seasonal;Sales Volume;brand;sku;name;description;price;currency;scraped_at;terms;section;stock_remaining
185102;Aisle;No;Clothing;No;2823;Zara;272145190-250-2;BASIC PUFFER JACKET;Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.;19.99;USD;2024-02-19T08:50:05.654618;jackets;MAN;507
188771;Aisle;No;Clothing;No;654;Zara;324052738-800-46;TUXEDO JACKET;Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.;169.0;USD;2024-02-19T08:50:06.590930;jackets;MAN;2306
180176;End-cap;Yes;Clothing;Yes;2220;Zara;335342680-800-44;SLIM FIT SUIT JACKET;Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;129.0;USD;2024-02-19T08:50:07.301419;jackets;MAN;698
112917;Aisle;Yes;Clothing;Yes;1568;Zara;328303236-420-44;STRETCH SUIT JACKET;Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;129.0;USD;2024-02-19T08:50:07.882922;jackets;MAN;1037
192936;End-cap;No;Clothing;Yes;2942;Zara;312368260-800-2;DOUBLE FACED JACKET;Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.;139.0;USD;2024-02-19T08:50:08.453847;jackets;MAN;388
117590;End-cap;No;Clothing;No;2968;Zara;320298385-807-2;CONTRASTING COLLAR JACKET;Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.;79.9;USD;2024-02-19T08:50:09.140497;jackets;MAN;398
189118;Front of Store;Yes;Clothing;Yes;952;Zara;278112470-800-2;FAUX LEATHER PUFFER JACKET;Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.;69.99;USD;2024-02-19T08:50:09.688951;jackets;MAN;1297
182157;Aisle;No;Clothing;No;2421;Zara;322972485-431-46;SUIT JACKET IN 100% LINEN;Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;159.0;USD;2024-02-19T08:50:10.200777;jackets;MAN;1071
141861;Aisle;Yes;Clothing;Yes;1916;Zara;313854165-401-46;100% WOOL SUIT JACKET;Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.;169.0;USD;2024-02-19T08:50:10.880741;jackets;MAN;767
137121;Aisle;No;Clothing;Yes;656;Zara;312372602-800-2;100% FEATHER FILL PUFFER JACKET;Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.;169.0;USD;2024-02-19T08:50:11.380061;jackets;MAN;2141
113143;Aisle;Yes;Clothing;Yes;2663;Zara;316207900-710-2;HERRINGBONE TEXTURED JACKET;Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.;129.0;USD;2024-02-19T08:50:12.011296;jackets;MAN;335
140028;Aisle;Yes;Clothing;Yes;1260;Zara;329186122-800-2;OVERSIZED CROPPED JACKET LIMITED EDITION;Oversized cropped jacket. Notched lapel collar and long sleeves with buttoned cuffs. Flap pockets at waist ad interior pocket. Front button closure.;159.0;USD;2024-02-19T08:50:12.510507;jackets;MAN;1094
134693;Aisle;Yes;Clothing;No;2124;Zara;311297791-800-2;LEATHER BIKER JACKET;Jacket with lapel collar and snap button details. Long sleeves with zip cuffs. Front zip pockets and interior pocket. Asymmetric front closure with metal zipper.;169.0;USD;2024-02-19T08:50:13.210501;jackets;MAN;792
151396;Front of Store;Yes;Clothing;Yes;729;Zara;323134418-800-3;CROPPED LEATHER JACKET;Leather jacket. Cropped length. Lapel collar and long sleeves. Front hidden in-seam pockets. Front zip closure.;439.0;USD;2024-02-19T08:50:13.771115;jackets;MAN;1478
132889;Aisle;Yes;Clothing;Yes;2265;Zara;311297555-706-2;FAUX LEATHER BOXY FIT JACKET;Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip. Front button closure.;99.9;USD;2024-02-19T08:50:14.252907;jackets;MAN;653
152174;End-cap;No;Clothing;No;2226;Zara;317012940-800-2;FAUX LEATHER JACKET;Jacket made of faux leather fabric. Lapel collar with snap button details. Long sleeves with zip cuffs. Front zip pockets at chest and hip. Interior pocket. Asymmetric front closure with metal zipper.;99.9;USD;2024-02-19T08:50:14.853868;jackets;MAN;1215
